,gts,preds
0,办,办
1,比,比
2,队,队
3,p,p
4,t,t
5,长,长
6,之,之
7,t,t
8,扎,扎
9,m,m
10,q,q
11,n,n
12,n,n
13,m,m
14,穴,穴
15,p,p
16,o,o
17,北,北
18,6,6
19,v,v
20,马,马
21,中,中
22,p,p
23,g,g
24,y,y
25,c,c
26,左,左
27,厉,厉
28,n,n
29,8,8
30,乏,乏
31,n,n
32,y,y
33,o,o
34,王,王
35,元,元
36,王,王
37,心,心
38,干,干
39,欠,欠
40,1,1
41,穴,穴
42,么,么
43,凶,凶
44,末,末
45,2,2
46,旦,旦
47,m,m
48,节,节
49,e,e
50,元,元
51,户,户
52,仁,仁
53,外,外
54,之,之
55,8,8
56,方,方
57,示,示
58,丈,丈
59,兄,兄
60,己,己
61,册,册
62,m,m
63,头,头
64,乞,乞
65,它,它
66,a,a
67,v,v
68,礼,礼
69,6,6
70,5,5
71,y,y
72,z,z
73,轧,轧
74,c,c
75,0,0
76,凤,凤
77,1,1
78,o,o
79,q,q
80,历,历
81,历,历
82,6,6
83,三,三
84,写,写
85,丙,丙
86,乌,乌
87,半,半
88,卫,卫
89,q,q
90,手,手
91,生,生
92,x,x
93,瓦,瓦
94,么,么
95,口,口
96,古,古
97,t,t
98,r,r
99,电,电
100,c,c
101,半,半
102,外,外
103,仔,仔
104,王,王
105,无,无
106,n,n
107,x,x
108,头,头
109,方,方
110,厉,厉
111,未,未
112,仪,仪
113,e,e
114,互,互
115,叫,叫
116,4,4
117,h,h
118,e,e
119,鸟,鸟
120,s,s
121,6,6
122,只,只
123,尸,尸
124,叼,叼
125,万,万
126,q,q
127,k,k
128,寸,寸
129,9,9
130,仅,仅
131,a,a
132,v,v
133,分,分
134,刊,刊
135,计,计
136,了,了
137,y,y
138,7,7
139,o,o
140,u,u
141,令,令
142,另,另
143,以,以
144,头,头
145,贝,贝
146,三,三
147,气,气
148,l,l
149,丸,丸
150,兰,兰
151,叨,叨
152,g,g
153,c,c
154,a,a
155,文,文
156,且,且
157,仇,仇
158,w,w
159,比,比
160,中,中
161,b,b
162,灭,灭
163,w,w
164,父,父
165,z,z
166,巾,巾
167,二,二
168,寸,寸
169,l,l
170,u,u
171,h,h
172,川,川
173,3,3
174,丹,丹
175,古,古
176,主,王
177,平,平
178,卜,卜
179,世,世
180,太,太
181,石,石
182,w,w
183,j,j
184,乐,乐
185,8,8
186,9,9
187,叶,叶
188,x,x
189,2,2
190,m,m
191,d,d
192,业,业
193,及,及
194,丈,丈
195,0,0
196,区,区
197,认,认
198,v,v
199,丈,丈
200,队,队
201,l,l
202,0,0
203,0,0
204,训,训
205,u,u
206,i,i
207,叉,叉
208,方,方
209,c,c
210,仁,仁
211,r,r
212,礼,礼
213,九,九
214,i,i
215,f,f
216,1,1
