
Start val:
------------办------------- => 办                   , gt: 办                   
----比--------------------- => 比                   , gt: 比                   
--------------队----------- => 队                   , gt: 队                   
----p--------------------- => p                   , gt: p                   
----------t--------------- => t                   , gt: t                   
-------------长------------ => 长                   , gt: 长                   
-----之-------------------- => 之                   , gt: 之                   
----------tt-------------- => t                   , gt: t                   
--------------扎----------- => 扎                   , gt: 扎                   
-----------mm------------- => m                   , gt: m                   
--------------------q----- => q                   , gt: q                   
-------n------------------ => n                   , gt: n                   
----------n--------------- => n                   , gt: n                   
------------mm------------ => m                   , gt: m                   
--------------穴穴---------- => 穴                   , gt: 穴                   
--------pp---------------- => p                   , gt: p                   
------oo------------------ => o                   , gt: o                   
------------北------------- => 北                   , gt: 北                   
---------6---------------- => 6                   , gt: 6                   
--------------v----------- => v                   , gt: v                   
------------------马------- => 马                   , gt: 马                   
-------------中------------ => 中                   , gt: 中                   
------p------------------- => p                   , gt: p                   
----g--------------------- => g                   , gt: g                   
-------------y------------ => y                   , gt: y                   
----------------------c--- => c                   , gt: c                   
------------左左------------ => 左                   , gt: 左                   
-------------厉------------ => 厉                   , gt: 厉                   
----------------nn-------- => n                   , gt: n                   
-----------8-------------- => 8                   , gt: 8                   
---------------乏---------- => 乏                   , gt: 乏                   
--------n----------------- => n                   , gt: n                   
------------yy------------ => y                   , gt: y                   
----o--------------------- => o                   , gt: o                   
---------------------王---- => 王                   , gt: 王                   
----元--------------------- => 元                   , gt: 元                   
---------王---------------- => 王                   , gt: 王                   
---------------心心--------- => 心                   , gt: 心                   
-----干-------------------- => 干                   , gt: 干                   
-------------------欠------ => 欠                   , gt: 欠                   
---------------1---------- => 1                   , gt: 1                   
---------穴---------------- => 穴                   , gt: 穴                   
----么么-------------------- => 么                   , gt: 么                   
-----凶-------------------- => 凶                   , gt: 凶                   
---------末---------------- => 末                   , gt: 末                   
----2--------------------- => 2                   , gt: 2                   
----旦--------------------- => 旦                   , gt: 旦                   
---------m---------------- => m                   , gt: m                   
--------------------节----- => 节                   , gt: 节                   
--------------ee---------- => e                   , gt: e                   
------------------元------- => 元                   , gt: 元                   
-----户-------------------- => 户                   , gt: 户                   
---------------------仁---- => 仁                   , gt: 仁                   
-------------------外------ => 外                   , gt: 外                   
----------------之之-------- => 之                   , gt: 之                   
---8---------------------- => 8                   , gt: 8                   
------方------------------- => 方                   , gt: 方                   
------------------示------- => 示                   , gt: 示                   
-------------------丈------ => 丈                   , gt: 丈                   
---------------兄---------- => 兄                   , gt: 兄                   
--------------------己----- => 己                   , gt: 己                   
------------------册册------ => 册                   , gt: 册                   
---------------mm--------- => m                   , gt: m                   
-----------头-------------- => 头                   , gt: 头                   
-------------乞------------ => 乞                   , gt: 乞                   
---------------------它---- => 它                   , gt: 它                   
----------------a--------- => a                   , gt: a                   
----------vv-------------- => v                   , gt: v                   
---------礼---------------- => 礼                   , gt: 礼                   
-----------------6-------- => 6                   , gt: 6                   
-------5------------------ => 5                   , gt: 5                   
-----y-------------------- => y                   , gt: y                   
---zz--------------------- => z                   , gt: z                   
------------轧------------- => 轧                   , gt: 轧                   
------c------------------- => c                   , gt: c                   
----------------0--------- => 0                   , gt: 0                   
-----------凤-------------- => 凤                   , gt: 凤                   
--------1----------------- => 1                   , gt: 1                   
-------o------------------ => o                   , gt: o                   
---qq--------------------- => q                   , gt: q                   
--------------------历----- => 历                   , gt: 历                   
--------------历----------- => 历                   , gt: 历                   
-------------66----------- => 6                   , gt: 6                   
-----------------三-------- => 三                   , gt: 三                   
--------------------写----- => 写                   , gt: 写                   
-----------丙-------------- => 丙                   , gt: 丙                   
---------------------乌---- => 乌                   , gt: 乌                   
------半------------------- => 半                   , gt: 半                   
---------------卫---------- => 卫                   , gt: 卫                   
----------------q--------- => q                   , gt: q                   
--------------------手----- => 手                   , gt: 手                   
------生------------------- => 生                   , gt: 生                   
-------------------x------ => x                   , gt: x                   
--------瓦----------------- => 瓦                   , gt: 瓦                   
---------么么--------------- => 么                   , gt: 么                   
----------口--------------- => 口                   , gt: 口                   
---------古---------------- => 古                   , gt: 古                   
------------tt------------ => t                   , gt: t                   
---------r---------------- => r                   , gt: r                   
---------电---------------- => 电                   , gt: 电                   
---------------c---------- => c                   , gt: c                   
--------半----------------- => 半                   , gt: 半                   
--------------外----------- => 外                   , gt: 外                   
-----仔-------------------- => 仔                   , gt: 仔                   
-------------------王------ => 王                   , gt: 王                   
-----无-------------------- => 无                   , gt: 无                   
----n--------------------- => n                   , gt: n                   
------xx------------------ => x                   , gt: x                   
-------头------------------ => 头                   , gt: 头                   
---------------------方---- => 方                   , gt: 方                   
-----------厉-------------- => 厉                   , gt: 厉                   
----------未--------------- => 未                   , gt: 未                   
--------仪----------------- => 仪                   , gt: 仪                   
--------e----------------- => e                   , gt: e                   
-------------------互互----- => 互                   , gt: 互                   
--------------------叫----- => 叫                   , gt: 叫                   
------------4------------- => 4                   , gt: 4                   
----hh-------------------- => h                   , gt: h                   
-----------------ee------- => e                   , gt: e                   
--------鸟鸟---------------- => 鸟                   , gt: 鸟                   
---------------ss--------- => s                   , gt: s                   
------------6------------- => 6                   , gt: 6                   
-----------只-------------- => 只                   , gt: 只                   
----尸尸-------------------- => 尸                   , gt: 尸                   
-----------------叼-------- => 叼                   , gt: 叼                   
--------万----------------- => 万                   , gt: 万                   
-------q------------------ => q                   , gt: q                   
-----------------kk------- => k                   , gt: k                   
-----------寸-------------- => 寸                   , gt: 寸                   
-------9------------------ => 9                   , gt: 9                   
--------------------仅----- => 仅                   , gt: 仅                   
--------------------a----- => a                   , gt: a                   
-------v------------------ => v                   , gt: v                   
---------分分--------------- => 分                   , gt: 分                   
---------刊---------------- => 刊                   , gt: 刊                   
-------计计----------------- => 计                   , gt: 计                   
--------------------了----- => 了                   , gt: 了                   
-----y-------------------- => y                   , gt: y                   
----------------7--------- => 7                   , gt: 7                   
----o--------------------- => o                   , gt: o                   
----u--------------------- => u                   , gt: u                   
----令--------------------- => 令                   , gt: 令                   
-----另-------------------- => 另                   , gt: 另                   
----以以-------------------- => 以                   , gt: 以                   
--------------------头----- => 头                   , gt: 头                   
---------------贝---------- => 贝                   , gt: 贝                   
----三三-------------------- => 三                   , gt: 三                   
--------气----------------- => 气                   , gt: 气                   
-------l------------------ => l                   , gt: l                   
---------丸---------------- => 丸                   , gt: 丸                   
------------------兰------- => 兰                   , gt: 兰                   
----叨叨-------------------- => 叨                   , gt: 叨                   
-----------------g-------- => g                   , gt: g                   
-----------------c-------- => c                   , gt: c                   
-----------------a-------- => a                   , gt: a                   
-----------文-------------- => 文                   , gt: 文                   
--------且----------------- => 且                   , gt: 且                   
------仇------------------- => 仇                   , gt: 仇                   
-----w-------------------- => w                   , gt: w                   
----------------比--------- => 比                   , gt: 比                   
------------------中------- => 中                   , gt: 中                   
----b--------------------- => b                   , gt: b                   
------------灭------------- => 灭                   , gt: 灭                   
--------ww---------------- => w                   , gt: w                   
-----------父-------------- => 父                   , gt: 父                   
-------------------z------ => z                   , gt: z                   
--------------巾----------- => 巾                   , gt: 巾                   
----二二-------------------- => 二                   , gt: 二                   
-------------------寸寸----- => 寸                   , gt: 寸                   
--------------l----------- => l                   , gt: l                   
---------------------uu--- => u                   , gt: u                   
-------hh----------------- => h                   , gt: h                   
----川川-------------------- => 川                   , gt: 川                   
-------3------------------ => 3                   , gt: 3                   
-----------丹-------------- => 丹                   , gt: 丹                   
-------古------------------ => 古                   , gt: 古                   
--------------王----------- => 王                   , gt: 主                   
-------------------平------ => 平                   , gt: 平                   
-----------卜-------------- => 卜                   , gt: 卜                   
------------------世------- => 世                   , gt: 世                   
--------------------太太---- => 太                   , gt: 太                   
-------------石------------ => 石                   , gt: 石                   
----------w--------------- => w                   , gt: w                   
----------j--------------- => j                   , gt: j                   
--------乐乐---------------- => 乐                   , gt: 乐                   
--------------------8----- => 8                   , gt: 8                   
------------9------------- => 9                   , gt: 9                   
----叶叶-------------------- => 叶                   , gt: 叶                   
------------------x------- => x                   , gt: x                   
----2--------------------- => 2                   , gt: 2                   
---mm--------------------- => m                   , gt: m                   
--------d----------------- => d                   , gt: d                   
---------------------业---- => 业                   , gt: 业                   
------------------及------- => 及                   , gt: 及                   
-------丈------------------ => 丈                   , gt: 丈                   
-----------0-------------- => 0                   , gt: 0                   
----------区区-------------- => 区                   , gt: 区                   
------------认------------- => 认                   , gt: 认                   
---------------------v---- => v                   , gt: v                   
--------丈----------------- => 丈                   , gt: 丈                   
----队队-------------------- => 队                   , gt: 队                   
-------------l------------ => l                   , gt: l                   
-------------0------------ => 0                   , gt: 0                   
-------0------------------ => 0                   , gt: 0                   
--------------训----------- => 训                   , gt: 训                   
----------------------u--- => u                   , gt: u                   
----------------i--------- => i                   , gt: i                   
-----------叉-------------- => 叉                   , gt: 叉                   
---------------------方---- => 方                   , gt: 方                   
-------c------------------ => c                   , gt: c                   
--------仁----------------- => 仁                   , gt: 仁                   
----r--------------------- => r                   , gt: r                   
--------------礼----------- => 礼                   , gt: 礼                   
------------九------------- => 九                   , gt: 九                   
------i------------------- => i                   , gt: i                   
-------------f------------ => f                   , gt: f                   
-------------------1------ => 1                   , gt: 1                   
--------------------p----- => p                   , gt: p                   
---------tt--------------- => t                   , gt: t                   
--------------------叉----- => 叉                   , gt: 叉                   
----左--------------------- => 左                   , gt: 左                   
----允允-------------------- => 允                   , gt: 允                   
------zz------------------ => z                   , gt: z                   
-----------b-------------- => b                   , gt: b                   
---00--------------------- => 0                   , gt: 0                   
-------------专------------ => 专                   , gt: 专                   
--------x----------------- => x                   , gt: x                   
---zz--------------------- => z                   , gt: z                   
-----------------a-------- => a                   , gt: a                   
--------------xx---------- => x                   , gt: x                   
----------q--------------- => q                   , gt: q                   
-------xx----------------- => x                   , gt: x                   
-------------i------------ => i                   , gt: i                   
---------------仅---------- => 仅                   , gt: 仅                   
-----------------9-------- => 9                   , gt: 9                   
-------------------仓------ => 仓                   , gt: 仓                   
----------o--------------- => o                   , gt: o                   
-----------------它它------- => 它                   , gt: 它                   
---------------平---------- => 平                   , gt: 平                   
-------c------------------ => c                   , gt: c                   
-------a------------------ => a                   , gt: a                   
------斗------------------- => 斗                   , gt: 斗                   
------------------只------- => 只                   , gt: 只                   
----目--------------------- => 目                   , gt: 目                   
--------------由----------- => 由                   , gt: 由                   
-------------y------------ => y                   , gt: y                   
--------------------之之---- => 之                   , gt: 之                   
-----------------大-------- => 大                   , gt: 大                   
-----二-------------------- => 二                   , gt: 二                   
---------------------之---- => 之                   , gt: 之                   
-------------业------------ => 业                   , gt: 业                   
--------目----------------- => 目                   , gt: 目                   
-------------文------------ => 文                   , gt: 文                   
-----月-------------------- => 月                   , gt: 月                   
---------------------u---- => u                   , gt: u                   
------------------由------- => 由                   , gt: 由                   
---------------ee--------- => e                   , gt: e                   
-------------------77----- => 7                   , gt: 7                   
-----------44------------- => 4                   , gt: 4                   
--------丑----------------- => 丑                   , gt: 丑                   
---------------开---------- => 开                   , gt: 开                   
--------------------业----- => 业                   , gt: 业                   
-------5------------------ => 5                   , gt: 5                   
-----------------mm------- => m                   , gt: m                   
-----------丁-------------- => 丁                   , gt: 丁                   
----z--------------------- => z                   , gt: z                   
----------------二--------- => 二                   , gt: 二                   
----幻幻-------------------- => 幻                   , gt: 幻                   
---------33--------------- => 3                   , gt: 3                   
-----------------a-------- => a                   , gt: a                   
-------r------------------ => r                   , gt: r                   
------斤------------------- => 斤                   , gt: 斤                   
-------------------门------ => 门                   , gt: 门                   
-----丙-------------------- => 丙                   , gt: 丙                   
----------------77-------- => 7                   , gt: 7                   
-------------贝------------ => 贝                   , gt: 贝                   
-------------------与------ => 与                   , gt: 与                   
-------ss----------------- => s                   , gt: s                   
----------------示示-------- => 示                   , gt: 示                   
